,0
05106abb192ca99adb2bff11d57a6a8b,597.0
abae3771d5f40267f682b62f003a3d9b,596.0
3b38999bdbf762d48005d1e4f7a5de40,593.0
9ae326cda0c7be2d14b592ddc9c056fb,573.0
0484d6f9283e7460c3d7f294a0c4b744,568.0
20a5742fa070fed6d4de150566ef9162,567.0
6b11029a780b6fd78fc82ae5c77092d3,554.0
c48cca3006a37dc0aa5c05bea5ecdbd6,538.0
07682ffe561a76982de4dbc533e20c2c,518.0
7cee5844a02bb3825ed36dd13986d4d0,512.0
5d98f0e6031da80ba98b1b23d941bb06,502.0
ed63a95c600900cdf7a879fbbffc3f65,500.0
1bcc1a211d6c3272f7f3ac10a3620bae,498.0
ca053b4d3f2aa260c29d4880f5a4a9f4,495.0
ce66cfb2714ac46183591cd81238c363,476.0
2ba2b5779ec59f886768f52ad2e76ed0,462.0
26005dfb7ad2e8cdbb139846af329663,462.0
84e579be1d1f7517274cba4ab2480535,452.0
502a6e0ee97c70278ba252e0d0085a1b,448.0
18509f5ab5b78e8773ff2d830487cff9,447.0
a8c0803132cb976086dab0876bd2092a,446.0
c6a1f4482d637ac01d2a6aed26435db4,442.0
1b5e69c9f4e8caf977af2374e4a2e5bd,436.0
64ddb54a581af4d346ac302ef346090a,427.0
bbcc544b45ccff395206a1208bc5739a,423.0
a896b9e68c2283cce1e8e96cb7117320,422.0
1ba02757a66e7d13b9dbf3a515777416,415.0
2988e00c34cd916b0faff28266b09974,414.0
29713f87e029bca5511340d2d6371ea4,408.0
fe0ee07c8a03dcc118f7d3ceb7ae8f47,408.0
163f61a04e5b952eae13dd87897a75cf,407.0
a460697a393822181ea1f900c65e0eb0,406.0
c9de210c5a513e7749d7e67ce403d19a,403.0
f4b7af49aaa8b5c777aa7e683a784a87,403.0
c938c4ceac4c09d1270d8be976a6ccde,393.0
a15ae56079be82e0cd0d68f69978a6d4,388.0
2851d4f4db34365d076ca6125dd848c4,385.0
4870ffc6f241655e9267c5fcb1a8d8ac,382.0
0365918fa57dab59fc1f326f143a2457,379.0
b2255779e5d281232aeae83444a40cbd,372.0
4938470a29fa6ff085e48270a645d149,372.0
2303c4639c9618e6701691b36993da50,368.0
d526d1a358c5c6c3cf900ce27ae9cca7,368.0
622f82cb77c0053f9260cc95a3a8a6d9,364.0
ac23332462f5f95fd670fccdda1d3ecf,363.0
0b991b0e8066ce5f6c52e426b9cff791,362.0
cf05bc959008043eea4411defd373d30,355.0
f19a66c21b93b4d195732fddd38bb77b,354.0
749bdfd49d5482e24016ed5eef1cd9e2,353.0
15aac786d44635cfd666df8ec2282e6b,350.0
77d04f73ee18fe417483b597ee561e33,348.0
66284af0d3b686555fb930285c4c8a61,348.0
96aa982b70a9bbf2316b5bd3bdec8a1b,347.0
5f526578a5240ba5514d1dcbf298db00,346.0
485c749e5b8a7469fb9b634f6205865b,346.0
f1de58e896111f37a5547e55c818bd8d,344.0
1974d30fe197f62f11d20ac6b762afa2,342.0
c22fca4bf161aec670f108d97d721ff7,341.0
ad8664f21c744d16b06f829014b5511c,340.0
127ce512a592df043f7dd402b0b862fd,340.0
bd1c5a1d598935c732723e49a713dee1,339.0
f7ec03df01e09cd63e18784cb95b2ba4,338.0
9763af5ba72f7a82916408dd478626cb,338.0
cbe5b99184744938bbdb386295c4788b,337.0
53a079d383684d148941f68aa7e32083,336.0
99f3bc0f65bb70137078d30c5ee378cb,333.0
bab38161f5e8afde4e8257d01512aa04,322.0
e05fee84a85c616ad98f9383fadb40a0,320.0
4efcff905d2dc1d1761a84629917d788,316.0
45d4963bdf8ca919a6dc6bd7d3e1696c,315.0
bc75acb4d1a181a301b06c071c672fe4,314.0
60a96b4f2f1b35d96ea30d31ea9e1c20,313.0
528aed328f6ee0b018dd0f8cb0a3a1f4,313.0
729294fe01d434e2eff0b0528bd4d26a,311.0
91c8626124b81cf81edbfdbb4b8ea736,309.0
539e31a16b3c6d944ad6bf1f4db3d52c,308.0
682e01f469617f8edee14a536912f7c4,307.0
a767ef0731668fa4127e737312962d4b,306.0
029ea812ab75dd54c44fe6225c94cf53,304.0
de5b46a772223acb27f0ab9df9281483,304.0
acbd9af25075285c382477086e0e6560,303.0
9895df1d17dc0620f54c08d4c7105d56,301.0
da97c6354585d3bfe3f47ae1b6d305c6,300.0
c2efc4523c2276639d63772674ff1115,297.0
5d9180880af9854c6372832cdeb3d320,295.0
09ddd8485d14d28bcd2079555e41db88,295.0
c2166aa6c69506ceec31d0bde0c326e2,294.0
bdf8a26094624622d68509a87fa75ba7,291.0
5c0ca92e811ccf19024a0c076a8bfd4d,286.0
6b315f08e0768a75fac2e33026b2bf5f,286.0
17a7cfbb2cca1b84460a4aa3a2657b07,285.0
69aff557bd35d6be9f9f0aa06008e9c3,283.0
4a72952af77377f42f73f42b3b3d4285,282.0
a198c90b647134b14f0bfaaf27213430,281.0
efa78a2c469f74fcc025598b8be58d16,280.0
fd4ea8f5ca9e2a8def4e6291096d095d,278.0
a132adc4379af92ab90727076c70114f,277.0
404b605509b0672474c5afb4b4bf352d,276.0
af66c93f3d475be38b5d3f4b5ca1a42c,271.0
dd006a5dd8d1504bce26c72c3f51cfb4,270.0
ff5e4b952d4bf0edfb0774cf517dbd28,270.0
09c8fff10433b03e835d583eeeb2a737,268.0
a568ede47fb9cf72f25988c051be8d1e,267.0
678a9f8442a5716d42477d9ae5b3996a,265.0
e31f81b36052eea3148a36f0572ed27f,265.0
7cf66862181370e6c0395226dd21edc4,264.0
af6692e39e99c16559d61f444881fbaa,258.0
5accc17c5cb4d54fa36298c5d6db3751,257.0
0882c02e1263a033335a34376f55d2b8,256.0
d29f5c2276e5c39023b2a73593ed907b,256.0
197cac25851f42ea0811ba6eb3a4d044,255.0
3c1801326a1ee64b174b5b420cf81f4a,253.0
0236d83b5659cd340e545b548078c937,253.0
77734380f9c463583505a331ff6d7391,252.0
deb61705e86ed546a7ba6bbcd44ea6ad,251.0
12e2bb64d262590c8c32d2b090882e42,250.0
9b3e2914f0ebf75e055b59e3e930b059,250.0
7494abe8c4004f646ab2902c0304b141,249.0
2550f74b6cd09fce1203509d8b42438e,249.0
83e948f389f9d97b0c975afc880989e8,248.0
75cac7ae6fbcbb7817a14f6772f94924,246.0
3c077f925876b2f576ff7b8f3fcdf9be,244.0
30bad02560941827a722720c6c3b2859,243.0
03f27d24dd889a053588c81a68faa1f2,243.0
e1a284e98ec705d9bb538e15b4760c60,242.0
924486bb6fe33cb0efe9931f57c7b37c,239.0
c43b4ae672e89465e059e39ff0e17f2a,239.0
3a7bcfd3dd1c23c2efae4b6b3fcd36a3,238.0
274d92aafbe1d0f5349981599b047f3b,238.0
fa588720a59e4a07e23feab35368d3bf,238.0
dd96f884741bef82a9146cdd01f6c49c,237.0
25b2e99082ee2701af68ead076e61b6f,236.0
4dba613d354ac6a03c4a777fb2ddff49,235.0
